X,Y,OBJECTID_1,OBJECTID,GCOMPID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TYPE,STATUS,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,PIPECO,COMPID,OPERATOR,POSREL,NUM_UNITS,CERT_HP,PLANT_COST,EXP_FUEL,EXP_OTHER,GAS_COMPRE,OP_COMP_HR,OP_NUM_COM,OP_DATE_PE,EXP_POWER,ELEC_COMPR
-96.574767043,36.0386326760001,1009,1009,GCOMP676,514 DRUMRIGHT,51970 W. 86TH STREET SOUTH,DRUMRIGHT,OK,74030,5943,NATURAL GAS COMPRESSOR STATION,IN SERVICE,CREEK,40037,USA,36.038632676,-96.574767043,486210,PIPELINE TRANSPORTATION OF NATURAL GAS,"EPA ENVIROFACTS, FERC FORM 2, CORPORATE WEBSITE",2015/09/10 00:00:00+00,IMAGERY/OTHER,2016/03/14 00:00:00+00,https://csi.sscgp.com/,"SOUTHERN STAR CENTRAL GAS PIPELINE, INC.",43,"SOUTHERN STAR CENTRAL GAS PIPELINE, INC.",WITHIN 40 FEET,3,2475,3451326,29855,84374,10557,1942,2,2012/10/14 00:00:00+00,0,0
-71.514243,42.0806650000001,1010,1010,GCOMP677,#266A - MENDON,52 THAYER RD.,MENDON,MA,01756,NOT AVAILABLE,NATURAL GAS COMPRESSOR STATION,IN SERVICE,WORCESTER,25027,USA,42.080665,-71.514243,486210,PIPELINE TRANSPORTATION OF NATURAL GAS,"EPA ENVIROFACTS, FERC FORM 2, CORPORATE WEBSITE",2015/09/03 00:00:00+00,IMAGERY/OTHER,2016/03/14 00:00:00+00,http://pipeline2.kindermorgan.com/,"TENNESSEE GAS PIPELINE COMPANY, L.L.C.",9,"TENNESSEE GAS PIPELINE COMPANY, L.L.C.",WITHIN 40 FEET,3,9170,27523339,840461,300953,296756,7961,1,2012/12/01 00:00:00+00,0,0
-80.756401,40.8245230000001,1011,1011,GCOMP678,BRINKER,5213 LEETONIA RD.,LEETONIA,OH,44431,NOT AVAILABLE,NATURAL GAS COMPRESSOR STATION,IN SERVICE,COLUMBIANA,39029,USA,40.824523,-80.756401,486210,PIPELINE TRANSPORTATION OF NATURAL GAS,"EPA ENVIROFACTS, FERC FORM 2, CORPORATE WEBSITE",2015/09/29 00:00:00+00,IMAGERY/OTHER,2016/03/14 00:00:00+00,http://www.columbiapipeinfo.com/,"COLUMBIA GAS TRANSMISSION,LLC",21,"COLUMBIA GAS TRANSMISSION,LLC",WITHIN 40 FEET,3,3080,7824520,24945,789187,9443,1407,2,2012/02/09 00:00:00+00,0,0
-92.061025461,29.8960974500001,1012,1012,GCOMP679,HENRY HUB NORTH BOOSTER STATION,5246 ARISTIDE RD,ERATH,LA,70533,NOT AVAILABLE,NATURAL GAS COMPRESSOR STATION,IN SERVICE,VERMILION,22113,USA,29.89609745,-92.061025461,486210,PIPELINE TRANSPORTATION OF NATURAL GAS,"FERC FORM 2, CORPORATE WEBSITE",2015/08/18 00:00:00+00,IMAGERY/OTHER,2016/03/14 00:00:00+00,http://www.sabinepipeline.com/,SABINE PIPE LINE LLC,79,SABINE PIPE LINE LLC,WITHIN 40 FEET,5,4400,4967096,0,1073431,67071,7675,2,2012/05/04 00:00:00+00,100091,667272
-77.832872,39.7804080000001,1013,1013,GCOMP68,GREENCASTLE,10750 WELSH RUN RD.,GREENSCASTLE,PA,17225,NOT AVAILABLE,NATURAL GAS COMPRESSOR STATION,IN SERVICE,FRANKLIN,42055,USA,39.780408,-77.832872,486210,PIPELINE TRANSPORTATION OF NATURAL GAS,"EPA ENVIROFACTS, FERC FORM 2, CORPORATE WEBSITE",2015/09/28 00:00:00+00,IMAGERY/OTHER,2016/03/14 00:00:00+00,http://www.columbiapipeinfo.com/,"COLUMBIA GAS TRANSMISSION,LLC",21,"COLUMBIA GAS TRANSMISSION,LLC",WITHIN 40 FEET,4,7070,7752957,506566,176080,167755,6319,4,2012/01/05 00:00:00+00,605,-999
-84.2544,32.7877,1014,1014,GCOMP680,THOMASTON,5276 HIGHWAY 19 SOUTH,THOMASTON,GA,30286,5314,NATURAL GAS COMPRESSOR STATION,IN SERVICE,UPSON,13293,USA,32.7877,-84.2544,486210,PIPELINE TRANSPORTATION OF NATURAL GAS,"EPA ENVIROFACTS, FERC FORM 2, CORPORATE WEBSITE",2015/09/10 00:00:00+00,IMAGERY/OTHER,2016/03/14 00:00:00+00,http://ixsnp.sonetpremier.com/,"SOUTHERN NATURAL GAS COMPANY, L.L.C.",7,"SOUTHERN NATURAL GAS COMPANY, L.L.C.",WITHIN 40 FEET,4,17460,28470470,2139960,1136197,770274,26413,4,2012/03/22 00:00:00+00,0,0
-92.0614342759999,29.8961337800001,1015,1015,GCOMP681,SOUTH BOOSTER STATION,5319 ARISTIDE RD,ERATH,LA,70533,NOT AVAILABLE,NATURAL GAS COMPRESSOR STATION,IN SERVICE,VERMILION,22113,USA,29.89613378,-92.061434276,486210,PIPELINE TRANSPORTATION OF NATURAL GAS,"FERC FORM 2, CORPORATE WEBSITE",2015/09/30 00:00:00+00,IMAGERY/OTHER,2016/03/14 00:00:00+00,http://www.sabinepipeline.com/,SABINE PIPE LINE LLC,79,SABINE PIPE LINE LLC,WITHIN 40 FEET,5,11250,10572744,0,1172914,207967,18749,5,2012/05/04 00:00:00+00,53726,358173
-80.12820189,39.9127160460001,1016,1016,GCOMP682,PRATT,532 JEFFERSON RD,WAYNESBURG,PA,15370,NOT AVAILABLE,NATURAL GAS COMPRESSOR STATION,IN SERVICE,GREENE,42059,USA,39.912716046,-80.12820189,486210,PIPELINE TRANSPORTATION OF NATURAL GAS,"EPA ENVIROFACTS, FERC FORM 2, CORPORATE WEBSITE",2015/09/18 00:00:00+00,IMAGERY/OTHER,2016/03/14 00:00:00+00,http://equitrans.eqtmidstreampartners.com/,"EQUITRANS, L.P.",24,"EQUITRANS, L.P.",WITHIN 40 FEET,5,4800,16105458,616595,733726,229033,30978,5,2012/02/09 00:00:00+00,42703,-999
-85.779545156,33.619766585,1017,1017,GCOMP683,DEARMANVILLE,539 CHEVRON ROAD,ANNISTON,AL,36207,9413,NATURAL GAS COMPRESSOR STATION,IN SERVICE,CALHOUN,01015,USA,33.619766585,-85.779545156,486210,PIPELINE TRANSPORTATION OF NATURAL GAS,"EPA ENVIROFACTS, FERC FORM 2, CORPORATE WEBSITE",2015/09/10 00:00:00+00,IMAGERY/OTHER,2016/03/14 00:00:00+00,http://ixsnp.sonetpremier.com/,"SOUTHERN NATURAL GAS COMPANY, L.L.C.",7,"SOUTHERN NATURAL GAS COMPANY, L.L.C.",WITHIN 40 FEET,8,11250,14432041,784051,1087821,280956,23215,8,2012/11/14 00:00:00+00,0,0
-72.158984915,41.817605309,1018,1018,GCOMP684,CHAPLIN,539 TOWER HILL ROAD,CHAPLIN,CT,06235,NOT AVAILABLE,NATURAL GAS COMPRESSOR STATION,IN SERVICE,WINDHAM,09015,USA,41.817605309,-72.158984915,486210,PIPELINE TRANSPORTATION OF NATURAL GAS,"EPA ENVIROFACTS, FERC FORM 2, CORPORATE WEBSITE",2015/10/28 00:00:00+00,IMAGERY/OTHER,2016/03/14 00:00:00+00,http://www.spectraenergy.com/,"ALGONQUIN GAS TRANSMISSION, LLC",20,"ALGONQUIN GAS TRANSMISSION, LLC",WITHIN 40 FEET,2,13900,27732480,1634270,0,418141,7427,2,2012/11/06 00:00:00+00,0,0
